id,name,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,year,rating
0015324,Sherlock Jr.,923,230,231,314,669,1356,3735,7833,6116,6213,1924,8.3
0031381,Gone with the Wind,4325,2062,2690,4026,7681,15614,34390,58250,48999,71640,1939,8.2
0477348,No Country for Old Men,11235,4454,5734,9022,18641,42144,109378,205485,181953,128233,2007,8.1
0167404,The Sixth Sense,5518,2734,3573,6474,15092,44114,132923,260610,200678,128097,1999,8.1
1205489,Gran Torino,3977,1923,2709,4657,10743,32271,105748,208359,168707,98129,2008,8.1
0116282,Fargo,5719,2348,3258,5380,11454,30517,87755,164723,130514,87020,1996,8.1
0469494,There Will Be Blood,6674,2962,3880,6100,12020,27721,66178,113860,101409,95268,2007,8.1
0077416,The Deer Hunter,2823,1403,1973,3242,6636,15304,41932,79273,65593,51122,1978,8.1
0084787,The Thing,2570,1115,1703,3076,7047,18392,51386,91558,67315,63477,1982,8.1
0266543,Finding Nemo,4683,2182,3070,5540,14707,44632,142436,264828,183707,146352,2003,8.1
0118715,The Big Lebowski,7231,3702,4895,8056,16763,39883,96568,161744,138233,145103,1998,8.1
0091251,Come and See,1549,347,362,504,954,1776,4789,9139,8109,10726,1985,8.2
0061512,Cool Hand Luke,1346,447,637,1112,2771,7397,23371,44264,32914,25480,1967,8.1
0266697,Kill Bill: Vol. 1,15126,6521,7670,10915,21184,47439,126438,250015,203815,159176,2003,8.1
0032976,Rebecca,1609,487,622,1000,2423,5942,17260,31735,23527,19706,1940,8.1
0018455,Sunrise,1228,410,416,639,1313,2346,6104,10041,6950,10393,1927,8.2
1130884,Shutter Island,4888,2900,4149,7586,16704,48162,142017,299385,247017,161098,2010,8.1
0046438,Tokyo Story,1297,349,401,581,1172,2093,5697,10012,7392,10063,1953,8.2
2119532,Hacksaw Ridge,1914,860,1294,2536,5762,15301,47858,94233,83789,65901,2016,8.2
0978762,Mary and Max,1830,694,860,1349,3035,7268,21971,42825,35389,26980,2009,8.1
0892769,How to Train Your Dragon,3217,1103,1658,3215,8982,29107,97618,180369,133580,108134,2010,8.1
0116231,The Bandit,1452,308,347,412,831,1604,4515,8856,10652,21559,1996,8.3
2267998,Gone Girl,5861,2455,3576,5792,12681,35924,114244,238263,189056,95443,2014,8.1
